current_age,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,amount,use_chip,debt_to_income,default_risk,gender_Female,gender_Male,gender_Other
67,58144,697733,172054,731,5,2277.94,Yes,0.24659002799064972,0,1,0,0
57,33576,402906,0,813,1,5048.87,Yes,0.0,0,0,1,0
68,147962,1775543,0,630,3,864.87,No,0.0,0,1,0,0
67,52962,635541,0,585,5,3965.78,Yes,0.0,0,0,1,0
36,57068,684813,110055,705,4,2156.68,Yes,0.16070810571645106,0,0,1,0
24,88323,1059872,0,759,3,3141.16,No,0.0,0,0,1,0
66,29122,349469,157775,678,3,3916.43,Yes,0.45147065977239753,0,1,0,0
49,54245,650935,0,745,3,2753.13,Yes,0.0,0,0,1,0
36,61175,734097,0,799,4,613.24,Yes,0.0,0,0,0,1
43,23418,281012,53280,720,3,1353.18,Yes,0.18960044410914836,0,0,1,0
53,56390,676681,112681,680,4,929.02,Yes,0.1665201180467606,0,0,1,0
50,124048,1488576,0,788,2,10286.46,Yes,0.0,0,0,1,0
27,84210,1010526,311834,555,4,4978.83,Yes,0.3085858255997372,0,0,1,0
21,20988,251852,137676,680,2,505.55,No,0.5466543843209504,0,0,1,0
59,80157,961882,697407,578,3,4564.98,Yes,0.7250442361952921,1,0,1,0
36,41505,498065,71716,620,3,2167.5,Yes,0.1439892383524239,0,0,1,0
24,50159,601907,50959,675,5,3648.23,Yes,0.08466258076413798,0,1,0,0
24,42445,509341,226953,816,2,611.04,Yes,0.4455816437318025,0,0,1,0
25,21080,252965,121311,698,3,516.93,Yes,0.47955646037989447,0,0,1,0
31,74588,895055,0,736,4,4954.23,Yes,0.0,0,0,1,0
61,35812,429747,159135,708,3,4038.17,No,0.3702992691048454,0,1,0,0
68,98365,1180378,200752,762,5,2711.32,No,0.17007433212072742,0,1,0,0
43,60779,729348,0,647,2,3266.28,Yes,0.0,0,1,0,0
25,24054,288654,0,664,1,1425.39,Yes,0.0,0,0,1,0
42,70464,845562,228528,715,3,1669.72,Yes,0.27026758534560447,0,1,0,0
22,81474,977685,16558,767,3,301.84,No,0.016935925170172398,0,0,1,0
49,20789,249468,52973,879,1,1350.57,Yes,0.2123438677505732,0,1,0,0
35,24113,289354,0,677,1,3268.81,Yes,0.0,0,0,1,0
23,23791,285489,158627,773,2,1808.86,Yes,0.5556326163179667,0,1,0,0
57,44263,531161,62303,567,1,776.54,No,0.11729588580486895,0,1,0,0
29,17380,208564,0,820,1,1779.52,Yes,0.0,0,1,0,0
58,142119,1705428,54145,703,4,413.76,Yes,0.03174862849677618,0,1,0,0
33,53469,641626,161472,782,4,1725.61,Yes,0.25166062472530726,0,0,1,0
70,47152,565828,127470,671,2,937.77,Yes,0.22528047392493833,0,0,1,0
56,32335,388024,144180,840,3,1210.02,No,0.3715749541265489,0,1,0,0
19,59421,713049,315841,825,5,4387.65,Yes,0.44294431378488713,0,1,0,0
36,36566,438787,0,854,3,5169.13,No,0.0,0,0,1,0
23,68371,820453,32651,572,3,5667.46,Yes,0.03979630764955457,0,0,1,0
65,52051,624611,440914,637,3,2234.71,No,0.7059017532512235,0,0,1,0
63,32627,391527,26025,671,1,3086.47,Yes,0.06647051161222597,0,1,0,0
63,27004,324053,24637,591,3,3819.52,Yes,0.07602768682900636,0,0,1,0
58,62943,755318,193503,717,5,2189.39,Yes,0.2561874601161365,0,0,1,0
60,60319,723829,23627,637,4,1524.64,No,0.0326416874703832,0,0,1,0
38,85301,1023616,187047,680,4,887.11,Yes,0.18273161029135926,0,1,0,0
70,33698,404371,0,762,2,1844.84,Yes,0.0,0,1,0,0
36,35136,421628,0,648,1,5967.75,Yes,0.0,0,0,1,0
43,71838,862055,138460,754,3,1623.49,Yes,0.16061620198247212,0,1,0,0
66,44212,530544,72337,680,1,3811.77,Yes,0.13634495913628275,0,0,1,0
34,63270,759243,81645,630,4,2553.83,No,0.1075347418415448,0,0,0,1
48,65472,785669,101529,777,3,3362.56,Yes,0.12922617539956394,0,1,0,0
61,183619,2203425,1053264,623,4,3547.72,Yes,0.47801218557473024,0,0,1,0
42,72386,868627,0,672,4,1577.37,Yes,0.0,0,1,0,0
67,51373,616474,0,650,3,960.21,Yes,0.0,0,1,0,0
40,185099,2221186,0,749,3,5405.22,No,0.0,0,0,1,0
66,45142,541698,245509,717,1,6719.84,Yes,0.45322116751400227,0,1,0,0
62,132590,1591083,0,824,2,905.35,No,0.0,0,1,0,0
30,88523,1062277,562874,579,3,630.01,Yes,0.5298749761126336,1,1,0,0
46,68897,826760,257606,656,4,5050.2,Yes,0.3115849823407035,0,0,1,0
59,28659,343909,41101,684,3,6283.89,Yes,0.11951126606166167,0,0,1,0
61,23212,278549,83902,727,2,1347.79,No,0.3012109180072447,0,0,1,0
37,25192,302298,5480,708,3,3128.16,Yes,0.018127807659991134,0,1,0,0
61,58677,704127,167613,773,4,4553.1,No,0.23804370518386597,0,1,0,0
31,78987,947841,0,784,3,777.26,Yes,0.0,0,0,1,0
40,88680,1064159,708710,678,5,1367.09,Yes,0.6659813054252232,0,0,1,0
46,72267,867202,0,660,3,1124.64,Yes,0.0,0,1,0,0
25,48332,579988,0,564,1,5645.74,No,0.0,0,1,0,0
45,89209,1070512,237736,861,4,1912.94,Yes,0.22207691272960975,0,1,0,0
59,42046,504558,147995,625,2,1722.75,Yes,0.29331613015748437,0,0,1,0
58,58332,699989,333452,658,4,3582.4,Yes,0.47636748577477644,0,0,1,0
61,25490,305875,51323,878,2,1185.26,Yes,0.16779076420106254,0,1,0,0
48,43856,526270,116040,667,3,4066.3,Yes,0.22049518308092805,0,0,1,0
40,58911,706930,158915,831,3,4850.05,No,0.2247959486795015,0,1,0,0
52,66325,795899,167771,716,2,825.89,Yes,0.21079433445701024,0,1,0,0
49,86379,1036544,529704,685,5,2242.6,Yes,0.5110289577673499,0,0,1,0
19,95998,1151976,196432,850,3,3830.46,Yes,0.1705174413355834,0,0,1,0
21,54280,651360,0,782,4,5262.31,Yes,0.0,0,1,0,0
38,81202,974422,391628,726,2,2635.63,No,0.40190800289812834,0,1,0,0
68,19448,233377,65748,553,1,2921.99,Yes,0.28172442014423016,0,0,1,0
24,87542,1050509,199480,799,3,3759.03,Yes,0.18988890147538004,0,0,1,0
62,36984,443814,179724,676,1,2348.59,Yes,0.4049534264353986,0,0,1,0
23,71854,862247,124902,812,4,2447.33,Yes,0.14485640425539317,0,0,1,0
40,50686,608238,0,623,4,2360.6,No,0.0,0,1,0,0
36,142963,1715559,0,704,4,1173.19,Yes,0.0,0,0,1,0
25,37737,452849,0,685,2,4275.41,Yes,0.0,0,1,0,0
67,56460,677521,246539,625,3,1507.97,No,0.36388392389313395,0,1,0,0
35,71204,854447,328650,580,4,1012.55,No,0.38463474036423556,0,0,1,0
19,51660,619918,0,689,4,524.28,Yes,0.0,0,1,0,0
62,34194,410333,0,867,2,2065.12,Yes,0.0,0,0,1,0
24,21066,252798,90091,676,1,1735.29,Yes,0.35637544600827537,0,1,0,0
56,123855,1486255,331026,677,3,3254.09,Yes,0.2227249025234566,0,0,1,0
30,26598,319179,0,565,1,961.77,Yes,0.0,0,1,0,0
59,41794,501528,152119,585,2,3157.12,No,0.3033110813354389,0,0,1,0
22,56518,678213,218839,595,5,2857.71,Yes,0.3226700166466877,0,0,1,0
54,16844,202123,0,864,1,4485.04,No,0.0,0,0,1,0
60,110145,1321739,385598,719,4,5079.11,Yes,0.2917353577370419,0,0,1,0
30,85222,1022670,261934,764,3,1716.49,No,0.25612758758934945,0,0,1,0
54,39038,468454,0,785,2,1719.09,Yes,0.0,0,0,1,0
26,49216,590591,35373,697,3,1504.0,Yes,0.05989424153094104,0,1,0,0
24,50159,601907,50959,675,5,2525.13,Yes,0.08466258076413798,0,1,0,0
54,106135,1273619,157152,687,4,6400.06,Yes,0.12339011902303593,0,1,0,0
43,31781,381375,0,735,3,5099.91,Yes,0.0,0,0,1,0
23,35706,428469,0,556,3,5188.0,Yes,0.0,0,0,1,0
70,20335,244023,0,809,1,5316.64,Yes,0.0,0,1,0,0
22,53243,638917,0,856,4,1022.48,No,0.0,0,0,1,0
23,83704,1004452,125035,632,4,1735.56,No,0.12448081142752467,0,0,1,0
32,60635,727622,0,684,3,420.31,No,0.0,0,0,1,0
48,58083,696999,0,608,4,3092.67,Yes,0.0,0,1,0,0
61,183619,2203425,1053264,623,4,2755.19,Yes,0.47801218557473024,0,0,1,0
52,54330,651964,329597,746,2,3292.39,Yes,0.5055447846813628,0,1,0,0
52,88370,1060444,0,794,5,860.43,Yes,0.0,0,1,0,0
48,54676,656113,290365,619,2,3372.15,No,0.4425533406593072,0,0,1,0
68,45448,545372,164011,848,3,3644.73,Yes,0.3007323441614164,0,1,0,0
23,31054,372651,202165,757,2,2973.08,No,0.5425049174696969,0,1,0,0
66,61714,740571,0,635,4,1739.32,No,0.0,0,1,0,0
60,81905,982862,306247,732,5,131.98,Yes,0.3115869776224943,0,1,0,0
66,40619,487426,105919,682,3,1196.63,No,0.21730272902963732,0,0,1,0
52,35558,426701,133919,721,2,2740.06,Yes,0.3138474013419233,0,1,0,0
41,35764,429166,0,775,2,3610.37,Yes,0.0,0,0,1,0
38,28757,345084,102570,757,1,5405.04,Yes,0.29723197830093545,0,1,0,0
49,125234,1502805,325343,634,5,1451.95,Yes,0.21649049610561583,0,0,1,0
56,90444,1085328,0,737,3,1471.11,Yes,0.0,0,0,1,0
69,102423,1229073,223543,744,5,5543.33,Yes,0.18187935134853667,0,0,1,0
29,57737,692841,176649,759,3,3685.41,No,0.2549632599687374,0,1,0,0
26,28770,345239,0,655,1,2811.67,Yes,0.0,0,1,0,0
22,27720,332645,120783,634,2,1186.11,Yes,0.36309879901997627,0,1,0,0
31,29503,354039,56354,703,2,3804.18,Yes,0.15917455421577847,0,1,0,0
50,41136,493632,0,771,1,2686.07,No,0.0,0,0,1,0
65,65786,789431,194486,693,5,1008.98,Yes,0.24636225331916278,0,0,1,0
35,132358,1588293,244926,819,2,7457.6,Yes,0.1542070638100149,0,0,1,0
57,66961,803528,251082,696,3,1076.27,Yes,0.31247448751008056,0,1,0,0
67,30448,365381,0,747,2,1352.25,No,0.0,0,1,0,0
37,120357,1444279,588376,723,5,2407.48,No,0.4073838918934638,0,1,0,0
45,52468,629612,130984,708,5,5059.19,No,0.20803923686333806,0,1,0,0
58,35882,430581,66461,711,1,9209.86,Yes,0.1543519105580599,0,0,1,0
57,67536,810437,0,824,4,4781.74,Yes,0.0,0,0,1,0
49,53245,638945,0,651,4,2227.52,Yes,0.0,0,1,0,0
56,58316,699787,47863,900,5,4384.99,Yes,0.06839652637159593,0,0,1,0
24,42445,509341,226953,816,2,2688.91,Yes,0.4455816437318025,0,0,1,0
52,53693,644313,116821,739,4,1667.16,Yes,0.18131094669826622,0,0,1,0
56,37075,444903,121899,711,2,8300.99,Yes,0.27399006075481624,0,1,0,0
62,62249,746991,0,700,4,721.31,No,0.0,0,1,0,0
49,28356,340277,88684,802,3,2509.89,Yes,0.2606229630565686,0,0,1,0
65,27059,324707,196469,728,1,7026.77,Yes,0.6050654898108141,0,1,0,0
50,53015,636184,0,689,3,6088.53,No,0.0,0,0,1,0
56,73641,883691,267368,771,3,4707.78,Yes,0.3025582471701081,0,1,0,0
40,35251,423016,136865,800,1,578.14,No,0.32354568148722507,0,0,1,0
43,44082,528981,40091,622,2,1321.5,Yes,0.07578911151818307,0,0,1,0
41,28552,342621,84289,721,2,3341.02,Yes,0.2460123576780174,0,0,1,0
58,52759,633104,355912,776,3,3561.46,No,0.5621698804619778,0,1,0,0
63,52584,631011,315229,551,5,1150.27,Yes,0.499561814294838,0,1,0,0
53,70026,840310,0,719,3,1006.7,Yes,0.0,0,1,0,0
25,28792,345500,0,704,1,3603.19,Yes,0.0,0,1,0,0
42,63598,763171,165130,581,3,1406.71,Yes,0.21637352572359275,0,0,1,0
53,75284,903411,212073,680,2,4603.37,Yes,0.23474697562903263,0,1,0,0
37,35103,421237,54237,682,1,2744.96,Yes,0.12875649574942372,0,0,1,0
48,26011,312129,107085,871,3,2267.25,No,0.3430793037494113,0,0,1,0
70,56502,678019,0,798,5,1632.81,Yes,0.0,0,0,1,0
33,50750,609000,0,587,2,2513.17,Yes,0.0,0,1,0,0
42,58476,701714,0,855,4,874.3,Yes,0.0,0,1,0,0
61,31036,372426,38774,762,2,9577.77,No,0.10411195781175321,0,1,0,0
62,98567,1182809,0,728,5,2712.12,Yes,0.0,0,1,0,0
47,77690,932286,177769,639,3,6965.42,No,0.19068075676348245,0,0,1,0
47,38204,458452,239213,767,2,4797.55,Yes,0.5217841780600805,0,0,1,0
29,90031,1080367,321696,785,4,1900.82,Yes,0.2977654815446973,0,0,1,0
33,26368,316416,0,617,3,3312.06,Yes,0.0,0,1,0,0
41,21718,260611,85746,706,2,5316.27,Yes,0.3290191127772811,0,1,0,0
53,54633,655591,91522,674,5,5794.63,Yes,0.13960228252065693,0,0,1,0
70,65507,786081,0,628,4,1697.99,Yes,0.0,0,0,1,0
42,80969,971627,395307,674,4,2529.48,Yes,0.4068505712583121,0,0,1,0
44,39167,469999,171914,631,3,2502.23,No,0.36577524633031133,0,1,0,0
70,48299,579589,0,756,1,1318.66,No,0.0,0,0,1,0
55,55053,660634,0,814,3,5303.29,Yes,0.0,0,1,0,0
22,27449,329383,44511,635,1,7384.23,Yes,0.13513447870715853,0,0,1,0
34,21482,257784,156270,550,2,6328.95,Yes,0.6062051950470161,1,0,1,0
34,50717,608602,68406,763,4,1628.71,Yes,0.11239857903851778,0,1,0,0
69,46536,558435,0,816,2,3376.94,Yes,0.0,0,0,1,0
65,118676,1424114,382430,586,5,3186.59,Yes,0.2685388950603674,0,1,0,0
34,34846,418149,0,735,2,1476.07,Yes,0.0,0,0,1,0
59,44287,531446,75734,736,1,4463.66,Yes,0.1425055414849298,0,0,0,1
67,64456,773466,115342,781,4,6808.12,No,0.14912355552797407,0,1,0,0
42,117366,1408396,0,717,4,3024.79,No,0.0,0,1,0,0
49,94781,1137373,162594,623,3,4136.59,Yes,0.1429557409926207,0,1,0,0
31,101989,1223871,270283,634,3,1024.91,No,0.22084271953498366,0,1,0,0
60,28703,344437,0,754,1,2507.94,Yes,0.0,0,1,0,0
57,59251,711012,101955,735,4,1180.96,Yes,0.14339420431722671,0,0,1,0
20,52339,628068,161490,752,4,2725.06,Yes,0.2571218403102849,0,1,0,0
60,21454,257444,53987,786,1,1046.13,No,0.209703857926384,0,0,1,0
48,50282,603384,67855,690,3,2782.81,No,0.11245740689179694,0,0,1,0
50,86565,1038785,94620,750,2,3869.27,No,0.09108718358466862,0,1,0,0
37,35610,427323,0,748,2,6808.98,Yes,0.0,0,0,1,0
46,250000,3000000,0,746,2,2294.47,Yes,0.0,0,0,1,0
50,124891,1498688,0,762,4,4023.8,No,0.0,0,1,0,0
60,63298,759581,150643,612,3,1805.91,No,0.19832381273359917,0,1,0,0
35,23984,287814,0,681,2,6152.39,No,0.0,0,0,1,0
48,75470,905643,104307,849,2,1417.14,Yes,0.11517452241114877,0,1,0,0
45,23719,284626,0,661,2,1009.87,No,0.0,0,1,0,0
31,40765,489184,153521,685,2,439.7,No,0.31383078759730487,0,0,1,0
46,68530,822355,107953,854,4,735.02,Yes,0.13127299037520293,0,1,0,0
58,103469,1241624,0,597,2,1749.26,Yes,0.0,0,1,0,0
37,56923,683079,286865,670,3,13991.61,No,0.4199587456209311,0,1,0,0
53,31050,372596,89853,810,3,3308.84,No,0.24115395763776315,0,0,1,0
35,42779,513348,0,645,1,2707.71,Yes,0.0,0,1,0,0
33,69017,828202,293449,535,1,3455.84,Yes,0.3543205643067754,0,1,0,0
55,73005,876064,0,711,4,4315.41,Yes,0.0,0,0,1,0
41,90630,1087566,0,865,4,1754.46,Yes,0.0,0,1,0,0
28,65511,786129,522656,688,4,3935.18,No,0.6648476267889876,0,1,0,0
50,143116,1717388,803559,606,3,3149.74,Yes,0.46789601417967286,0,0,1,0
63,62758,753101,49779,679,4,3161.03,Yes,0.06609870389230661,0,1,0,0
35,66668,800022,276655,751,3,5413.23,No,0.3458092402458932,0,0,1,0
23,21409,256904,60818,701,3,6546.82,No,0.23673434434652632,0,1,0,0
56,33325,399901,0,730,3,749.75,Yes,0.0,0,0,1,0
51,48736,584829,80349,647,2,878.09,No,0.13738887777452896,0,0,1,0
33,94528,1134339,297106,675,4,5032.43,Yes,0.26191993751427045,0,1,0,0
31,56026,672317,295652,682,3,5453.67,No,0.4397508913206121,0,1,0,0
50,250000,3000000,1725561,627,4,3341.11,Yes,0.575187,0,1,0,0
28,116225,1394698,266454,770,2,2360.16,No,0.19104781106734217,0,1,0,0
34,103053,1236639,227455,774,2,781.44,Yes,0.18392999088658857,0,0,1,0
50,56060,672715,0,678,3,3010.08,Yes,0.0,0,1,0,0
54,53667,644004,292430,615,4,1294.83,No,0.45408103055260524,0,1,0,0
41,47405,568856,0,666,2,3187.04,No,0.0,0,1,0,0
19,64338,772053,0,629,4,4043.79,Yes,0.0,0,0,1,0
59,157040,1884481,1142791,649,3,2595.02,Yes,0.6064221395705237,0,1,0,0
22,87516,1050195,277209,722,4,4214.37,Yes,0.26395955036921714,0,1,0,0
58,65821,789853,327812,612,4,4408.78,Yes,0.41502912567275174,0,0,1,0
58,62943,755318,193503,717,5,3843.03,Yes,0.2561874601161365,0,0,1,0
43,125082,1500990,352428,753,4,2119.5,Yes,0.234797033957588,0,1,0,0
64,28926,347118,0,781,3,588.97,No,0.0,0,1,0,0
30,55611,667337,0,757,2,3583.54,Yes,0.0,0,0,1,0
26,68463,821558,129492,661,4,2069.18,Yes,0.15761759973124234,0,1,0,0
57,54607,655285,0,730,5,3078.07,Yes,0.0,0,0,1,0
22,49579,594951,218759,840,3,1572.94,No,0.3676924654299262,0,0,1,0
36,58922,707062,0,862,4,8860.04,Yes,0.0,0,1,0,0
19,59421,713049,315841,825,5,1119.11,No,0.44294431378488713,0,1,0,0
54,40559,486704,0,554,3,2216.23,Yes,0.0,0,1,0,0
38,26748,320976,5038,617,2,2327.76,No,0.015695877573401126,0,0,1,0
44,22663,271961,0,758,3,6001.83,Yes,0.0,0,0,1,0
46,70259,843111,181522,587,4,1041.27,Yes,0.215300239233031,0,0,1,0
41,61363,736359,27624,788,3,6555.39,Yes,0.03751431027528692,0,0,1,0
44,61729,740744,83730,693,3,7247.94,Yes,0.11303500264598836,0,0,1,0
57,54607,655285,0,730,5,2462.73,Yes,0.0,0,0,1,0
42,18382,220586,145950,630,1,1079.74,Yes,0.6616467046866075,0,0,1,0
64,79718,956612,92032,900,4,4462.27,Yes,0.09620619436093213,0,1,0,0
35,56591,679094,370760,681,2,3344.23,Yes,0.545962709138941,0,0,1,0
51,61405,736862,480979,678,3,3710.7,No,0.6527395903167758,0,0,1,0
52,32233,386800,166440,701,3,1749.21,No,0.43029989658738366,0,1,0,0
65,42074,504886,0,852,2,1006.13,Yes,0.0,0,0,1,0
32,45653,547833,108102,592,2,1564.99,Yes,0.19732655754582146,0,0,1,0
64,77165,925978,0,794,3,5193.4,Yes,0.0,0,0,1,0
52,159033,1908391,0,806,3,439.25,No,0.0,0,0,1,0
55,33805,405665,146866,659,1,1827.95,Yes,0.36203764189663884,0,0,1,0
52,28868,346418,142941,614,3,777.73,No,0.41262578734361377,0,0,1,0
30,69657,835879,49299,775,2,2452.89,Yes,0.05897863207473809,0,1,0,0
29,66064,792763,117262,722,3,3944.39,No,0.14791558132758467,0,0,1,0
42,63598,763171,165130,581,3,8108.87,Yes,0.21637352572359275,0,0,1,0
30,88523,1062277,562874,579,3,2244.56,No,0.5298749761126336,1,1,0,0
58,61487,737847,131499,558,2,2100.57,Yes,0.17821987485210347,0,1,0,0
54,134035,1608416,334499,637,4,3109.34,Yes,0.20796796351192726,0,0,1,0
20,34710,416520,141542,594,1,1029.4,Yes,0.33982041678670893,0,0,1,0
32,35783,429397,0,853,1,4295.44,Yes,0.0,0,1,0,0
54,26367,316409,29011,786,2,2472.13,Yes,0.09168828952400217,0,0,1,0
49,51789,621464,25242,751,2,5832.42,Yes,0.04061699470926715,0,0,1,0
29,17380,208564,0,820,1,3686.33,Yes,0.0,0,1,0,0
55,64098,769173,154400,754,4,897.2,Yes,0.20073507520414782,0,1,0,0
67,32448,389371,108455,690,1,1380.99,Yes,0.27853897696541347,0,0,1,0
65,89491,1073894,393969,728,3,2235.7,Yes,0.3668602301530691,0,0,1,0
70,56150,673804,144936,664,4,3515.43,Yes,0.2151011273307965,0,1,0,0
45,95684,1148203,339438,628,2,2680.5,Yes,0.29562542512081924,0,0,1,0
51,46428,557131,0,738,3,364.28,No,0.0,0,0,1,0
43,39096,469153,0,900,1,3976.53,No,0.0,0,0,1,0
24,210655,2527859,0,695,4,3493.78,No,0.0,0,0,1,0
55,48456,581471,0,800,3,3421.62,Yes,0.0,0,0,1,0
25,61760,741118,160414,900,3,1670.28,Yes,0.2164486626960889,0,0,1,0
61,76708,920496,159981,669,4,1871.14,Yes,0.17379869114042865,0,1,0,0
65,118676,1424114,382430,586,5,1681.98,Yes,0.2685388950603674,0,1,0,0
57,60775,729303,0,672,3,3652.45,Yes,0.0,0,0,1,0
65,31433,377198,0,737,1,4018.71,No,0.0,0,0,1,0
22,62987,755845,241613,838,3,2620.26,Yes,0.3196594539885823,0,1,0,0
60,52937,635245,94205,704,4,5617.73,Yes,0.14829711371203236,0,0,1,0
41,25045,300540,0,745,1,305.1,Yes,0.0,0,0,1,0
66,81903,982838,217892,660,3,1508.81,No,0.22169675979154246,0,0,1,0
47,100927,1211127,145002,812,5,1148.72,No,0.1197248513161708,0,0,1,0
50,24490,293879,0,699,1,1033.2,No,0.0,0,1,0,0
45,247499,2969990,0,770,5,3064.22,Yes,0.0,0,1,0,0
50,173189,2078263,525370,771,2,3712.62,No,0.25279283709520883,0,0,1,0
41,31502,378019,0,586,3,4884.99,Yes,0.0,0,1,0,0
59,42046,504558,147995,625,2,6814.69,No,0.29331613015748437,0,0,1,0
25,24110,289322,0,699,3,2443.97,Yes,0.0,0,1,0,0
32,60635,727622,0,684,3,2240.65,No,0.0,0,0,1,0
21,35774,429283,23908,882,2,2824.43,Yes,0.055692864613786246,0,1,0,0
51,48736,584829,80349,647,2,3180.48,Yes,0.13738887777452896,0,0,1,0
37,32893,394711,0,642,2,2574.48,Yes,0.0,0,0,1,0
23,75718,908617,241685,595,2,5182.95,Yes,0.26599216171390144,0,0,1,0
27,24158,289898,0,782,3,1294.53,Yes,0.0,0,0,1,0
45,41280,495358,0,744,3,1654.47,No,0.0,0,0,1,0
37,113873,1366475,0,696,3,933.18,Yes,0.0,0,1,0,0
70,52222,626660,0,761,4,554.08,Yes,0.0,0,0,1,0
28,24699,296383,211906,642,1,2547.29,No,0.7149735308705291,0,0,1,0
58,103469,1241624,0,597,2,2636.71,No,0.0,0,1,0,0
50,143116,1717388,803559,606,3,2111.96,Yes,0.46789601417967286,0,0,1,0
19,33813,405753,146623,664,3,3138.41,Yes,0.36136023639997733,0,1,0,0
19,61061,732732,364625,694,4,1473.28,No,0.49762396073871484,0,1,0,0
58,89750,1076998,0,682,5,2845.57,No,0.0,0,0,1,0
45,34151,409816,142042,791,3,5897.45,Yes,0.346599449509048,0,1,0,0
20,70030,840354,405042,705,4,7765.87,Yes,0.48198973289827857,0,0,1,0
66,68726,824718,601632,623,4,2695.24,Yes,0.7295002655453137,0,1,0,0
19,54027,648325,195950,655,4,3609.82,Yes,0.3022403886939421,0,0,1,0
43,38120,457437,191091,633,1,1468.21,No,0.41774277113569735,0,1,0,0
29,31099,373188,0,725,3,3948.41,Yes,0.0,0,1,0,0
58,49627,595519,107125,692,3,5832.27,No,0.17988510861954027,0,0,0,1
25,32651,391817,0,900,3,6036.66,Yes,0.0,0,0,1,0
65,56956,683478,0,732,5,3105.47,No,0.0,0,0,1,0
50,46355,556255,0,804,1,5516.28,Yes,0.0,0,1,0,0
46,87276,1047308,275622,727,3,368.72,Yes,0.2631718653920337,0,1,0,0
63,36521,438253,206850,607,2,2261.8,Yes,0.47198764184158465,0,0,0,1
43,20465,245583,18191,539,1,1796.88,Yes,0.07407271675971057,0,1,0,0
67,88573,1062877,547346,750,4,3076.66,No,0.5149664542557606,0,1,0,0
59,28659,343909,41101,684,3,5273.71,No,0.11951126606166167,0,0,1,0
54,106135,1273619,157152,687,4,7960.86,Yes,0.12339011902303593,0,1,0,0
66,56847,682159,65152,814,3,4393.61,No,0.0955085251385674,0,1,0,0
34,18474,221691,70473,790,1,924.62,No,0.3178884122494824,0,1,0,0
30,118859,1426307,181067,750,4,2963.67,Yes,0.12694812547368833,0,1,0,0
33,12500,150000,0,663,1,1660.38,No,0.0,0,1,0,0
24,210655,2527859,0,695,4,3186.86,No,0.0,0,0,1,0
52,94042,1128501,681664,519,1,5902.78,No,0.6040437713391481,1,0,1,0
38,50088,601052,0,743,3,4739.94,Yes,0.0,0,0,1,0
60,69792,837503,387942,589,4,1274.3,Yes,0.46321266908894654,0,1,0,0
42,101336,1216034,387462,703,4,4600.5,No,0.3186276041623836,0,0,1,0
50,39331,471973,128855,638,2,3813.8,Yes,0.27301349865352464,0,1,0,0
42,123778,1485338,578113,646,3,798.58,Yes,0.38921309493192796,0,0,1,0
